id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,distancia_euclidiana,hora_decimal,edad_decimal
0,1/1/2020 0:00,2.29E+15,fraud_Kirlin and Sons,personal_care,2.86,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,3/19/1968,2da90c7d74bd46a0caf3777415b3ebd3,1371816865,33.986391,-81.200714,0,0.266004411,12.23333333,52.25875352
1,2/1/2020 0:00,3.57E+15,fraud_Sporer-Keebler,personal_care,29.84,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",1/17/1990,324cc204407e99f51b0d6ca0055005e7,1371816873,39.450498,-109.960431,0,0.991674036,12.23333333,30.42713134
2,3/1/2020 0:00,3.60E+15,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,41.28,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",10/21/1970,c81755dbbbea9d5c77f094348a7579be,1371816893,40.49581,-74.196111,0,0.682969648,12.23333333,49.66874667
3,4/1/2020 0:00,3.59E+15,fraud_Haley Group,misc_pos,60.05,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,7/25/1987,2159175b9efe66dc301f149d3d5abf8c,1371816915,28.812398,-80.883061,0,0.250984718,12.25,32.91036391
4,5/1/2020 0:00,3.53E+15,fraud_Johnston-Casper,travel,3.19,Nathan,Massey,M,5783 Evan Roads Apt. 465,Falmouth,MI,49632,44.2529,-85.017,1126,Furniture designer,7/6/1955,57ff021bd3f328f8738bb535c302a31b,1371816917,44.959148,-85.884734,0,1.118815683,12.25,64.96238307
5,6/1/2020 0:00,3.04E+13,fraud_Daugherty LLC,kids_pets,19.55,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,10/13/1991,798db04aaceb4febd084f1a7c404da93,1371816937,41.747157,-77.584197,0,0.958565506,12.25,28.69133584
6,7/1/2020 0:00,2.13E+14,fraud_Romaguera Ltd,health_fitness,133.93,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1/15/1951,17003d7ce534440eadb10c4750e020e5,1371816944,41.499458,-124.888729,0,1.349501122,12.25,69.43329341
7,8/1/2020 0:00,3.59E+15,fraud_Reichel LLC,personal_care,10.37,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",3/5/1972,8be473af4f05fc6146ea55ace73e7ca2,1371816950,44.495498,-97.728453,0,0.751988306,12.25,48.29708533
8,9/1/2020 0:00,3.60E+15,"fraud_Goyette, Howell and Collier",shopping_pos,4.37,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,5/27/1973,71a1da150d1ce510193d7622e08e784e,1371816970,41.546067,-78.120238,0,0.558042506,12.26666667,47.07053008
9,10/1/2020 0:00,3.55E+15,fraud_Kilback Group,food_dining,66.54,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,5/30/1956,a7915132c7c4240996ba03a47f81e3bd,1371816971,31.782919,-96.366185,0,0.460185485,12.26666667,64.06163206
10,11/1/2020 0:00,2.24E+15,"fraud_Feil, Hilpert and Koss",food_dining,7.01,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,4/10/1996,3b8e4d02d9e1a3bf97cf449eb0317f2c,1371816980,38.977546,-84.727994,0,0.872021715,12.26666667,24.1985246
